Algorithm,N,TimeTaken
Inbuilt Sort,8993,1520
Inbuilt Sort,7029,1114
Inbuilt Sort,3664,540
Inbuilt Sort,7576,1206
Inbuilt Sort,3086,467
Inbuilt Sort,4893,869
Inbuilt Sort,6764,1056
Inbuilt Sort,4050,594
Inbuilt Sort,4748,800
Inbuilt Sort,6129,1345
Quick Sort,8993,1543
Quick Sort,7029,1429
Quick Sort,3664,695
Quick Sort,7576,1643
Quick Sort,3086,420
Quick Sort,4893,692
Quick Sort,6764,1065
Quick Sort,4050,580
Quick Sort,4748,726
Quick Sort,6129,946
Merge Sort,8993,1682
Merge Sort,7029,1258
Merge Sort,3664,596
Merge Sort,7576,1305
Merge Sort,3086,477
Merge Sort,4893,1003
Merge Sort,6764,1156
Merge Sort,4050,648
Merge Sort,4748,801
Merge Sort,6129,1036
Insertion Sort,8993,171067
Insertion Sort,7029,104525
Insertion Sort,3664,27883
Insertion Sort,7576,121341
Insertion Sort,3086,19788
Insertion Sort,4893,49263
Insertion Sort,6764,94636
Insertion Sort,4050,34453
Insertion Sort,4748,46637
Insertion Sort,6129,79002
Selection Sort,8993,129981
Selection Sort,7029,80064
Selection Sort,3664,21581
Selection Sort,7576,92291
Selection Sort,3086,15406
Selection Sort,4893,38648
Selection Sort,6764,76615
Selection Sort,4050,27850
Selection Sort,4748,36582
Selection Sort,6129,60212
