Algorithm,N,TimeTaken
Inbuilt Sort,19,2
Inbuilt Sort,79,9
Inbuilt Sort,88,11
Inbuilt Sort,33,3
Inbuilt Sort,36,4
Inbuilt Sort,86,10
Inbuilt Sort,24,2
Inbuilt Sort,18,1
Inbuilt Sort,79,9
Inbuilt Sort,48,3
Inbuilt Sort,12,0
Inbuilt Sort,5,0
Inbuilt Sort,2,0
Inbuilt Sort,59,5
Inbuilt Sort,43,3
Inbuilt Sort,75,6
Inbuilt Sort,59,4
Inbuilt Sort,35,2
Inbuilt Sort,30,2
Inbuilt Sort,86,8
Inbuilt Sort,24,1
Inbuilt Sort,29,2
Inbuilt Sort,37,2
Inbuilt Sort,96,9
Inbuilt Sort,12,0
Inbuilt Sort,41,3
Inbuilt Sort,72,6
Inbuilt Sort,10,0
Inbuilt Sort,75,6
Inbuilt Sort,27,1
Inbuilt Sort,19,1
Inbuilt Sort,13,0
Inbuilt Sort,1,0
Inbuilt Sort,19,1
Inbuilt Sort,98,9
Inbuilt Sort,91,8
Inbuilt Sort,28,2
Inbuilt Sort,100,9
Inbuilt Sort,16,1
Inbuilt Sort,62,5
Inbuilt Sort,90,8
Inbuilt Sort,5,0
Inbuilt Sort,60,5
Inbuilt Sort,41,3
Inbuilt Sort,48,4
Inbuilt Sort,52,4
Inbuilt Sort,67,5
Inbuilt Sort,5,0
Inbuilt Sort,73,6
Inbuilt Sort,63,5
Inbuilt Sort,71,6
Inbuilt Sort,61,5
Inbuilt Sort,1,0
Inbuilt Sort,72,6
Inbuilt Sort,35,3
Inbuilt Sort,45,3
Inbuilt Sort,55,4
Inbuilt Sort,47,3
Inbuilt Sort,67,6
Inbuilt Sort,70,6
Inbuilt Sort,72,6
Inbuilt Sort,29,2
Inbuilt Sort,20,1
Inbuilt Sort,78,7
Inbuilt Sort,22,1
Inbuilt Sort,69,6
Inbuilt Sort,72,6
Inbuilt Sort,17,1
Inbuilt Sort,87,7
Inbuilt Sort,98,9
Inbuilt Sort,38,2
Inbuilt Sort,40,3
Inbuilt Sort,32,2
Inbuilt Sort,60,5
Inbuilt Sort,25,2
Inbuilt Sort,39,3
Inbuilt Sort,67,6
Inbuilt Sort,4,0
Inbuilt Sort,86,7
Inbuilt Sort,78,7
Inbuilt Sort,9,0
Inbuilt Sort,83,7
Inbuilt Sort,79,7
Inbuilt Sort,99,11
Inbuilt Sort,61,5
Inbuilt Sort,61,5
Inbuilt Sort,57,6
Inbuilt Sort,26,3
Inbuilt Sort,7,0
Inbuilt Sort,86,10
Inbuilt Sort,13,1
Inbuilt Sort,27,2
Inbuilt Sort,32,4
Inbuilt Sort,21,1
Inbuilt Sort,62,6
Inbuilt Sort,19,1
Inbuilt Sort,72,7
Inbuilt Sort,57,6
Inbuilt Sort,85,11
Inbuilt Sort,55,6
Quick Sort,19,1
Quick Sort,79,7
Quick Sort,88,7
Quick Sort,33,1
Quick Sort,36,2
Quick Sort,86,7
Quick Sort,24,1
Quick Sort,18,1
Quick Sort,79,6
Quick Sort,48,3
Quick Sort,12,0
Quick Sort,5,0
Quick Sort,2,0
Quick Sort,59,4
Quick Sort,43,2
Quick Sort,75,5
Quick Sort,59,3
Quick Sort,35,2
Quick Sort,30,1
Quick Sort,86,6
Quick Sort,24,1
Quick Sort,29,1
Quick Sort,37,2
Quick Sort,96,8
Quick Sort,12,0
Quick Sort,41,2
Quick Sort,72,5
Quick Sort,10,0
Quick Sort,75,5
Quick Sort,27,1
Quick Sort,19,1
Quick Sort,13,0
Quick Sort,1,0
Quick Sort,19,1
Quick Sort,98,7
Quick Sort,91,7
Quick Sort,28,1
Quick Sort,100,7
Quick Sort,16,0
Quick Sort,62,4
Quick Sort,90,6
Quick Sort,5,0
Quick Sort,60,4
Quick Sort,41,3
Quick Sort,48,3
Quick Sort,52,3
Quick Sort,67,4
Quick Sort,5,0
Quick Sort,73,5
Quick Sort,63,4
Quick Sort,71,5
Quick Sort,61,4
Quick Sort,1,0
Quick Sort,72,6
Quick Sort,35,2
Quick Sort,45,3
Quick Sort,55,3
Quick Sort,47,2
Quick Sort,67,4
Quick Sort,70,6
Quick Sort,72,5
Quick Sort,29,1
Quick Sort,20,1
Quick Sort,78,5
Quick Sort,22,1
Quick Sort,69,5
Quick Sort,72,5
Quick Sort,17,0
Quick Sort,87,7
Quick Sort,98,7
Quick Sort,38,2
Quick Sort,40,2
Quick Sort,32,2
Quick Sort,60,4
Quick Sort,25,1
Quick Sort,39,2
Quick Sort,67,4
Quick Sort,4,0
Quick Sort,86,6
Quick Sort,78,6
Quick Sort,9,0
Quick Sort,83,5
Quick Sort,79,5
Quick Sort,99,8
Quick Sort,61,4
Quick Sort,61,4
Quick Sort,57,4
Quick Sort,26,1
Quick Sort,7,0
Quick Sort,86,6
Quick Sort,13,0
Quick Sort,27,1
Quick Sort,32,1
Quick Sort,21,1
Quick Sort,62,4
Quick Sort,19,1
Quick Sort,72,5
Quick Sort,57,3
Quick Sort,85,6
Quick Sort,55,3
Merge Sort,19,2
Merge Sort,79,8
Merge Sort,88,8
Merge Sort,33,2
Merge Sort,36,3
Merge Sort,86,7
Merge Sort,24,1
Merge Sort,18,1
Merge Sort,79,6
Merge Sort,48,3
Merge Sort,12,0
Merge Sort,5,0
Merge Sort,2,0
Merge Sort,59,5
Merge Sort,43,3
Merge Sort,75,6
Merge Sort,59,4
Merge Sort,35,2
Merge Sort,30,2
Merge Sort,86,8
Merge Sort,24,1
Merge Sort,29,2
Merge Sort,37,2
Merge Sort,96,8
Merge Sort,12,0
Merge Sort,41,3
Merge Sort,72,6
Merge Sort,10,0
Merge Sort,75,6
Merge Sort,27,1
Merge Sort,19,1
Merge Sort,13,0
Merge Sort,1,0
Merge Sort,19,1
Merge Sort,98,9
Merge Sort,91,8
Merge Sort,28,1
Merge Sort,100,9
Merge Sort,16,1
Merge Sort,62,5
Merge Sort,90,8
Merge Sort,5,0
Merge Sort,60,5
Merge Sort,41,3
Merge Sort,48,4
Merge Sort,52,4
Merge Sort,67,5
Merge Sort,5,0
Merge Sort,73,6
Merge Sort,63,5
Merge Sort,71,6
Merge Sort,61,4
Merge Sort,1,0
Merge Sort,72,6
Merge Sort,35,2
Merge Sort,45,3
Merge Sort,55,4
Merge Sort,47,3
Merge Sort,67,5
Merge Sort,70,6
Merge Sort,72,6
Merge Sort,29,2
Merge Sort,20,1
Merge Sort,78,6
Merge Sort,22,1
Merge Sort,69,5
Merge Sort,72,9
Merge Sort,17,1
Merge Sort,87,8
Merge Sort,98,9
Merge Sort,38,2
Merge Sort,40,3
Merge Sort,32,2
Merge Sort,60,5
Merge Sort,25,1
Merge Sort,39,3
Merge Sort,67,5
Merge Sort,4,0
Merge Sort,86,7
Merge Sort,78,6
Merge Sort,9,0
Merge Sort,83,7
Merge Sort,79,7
Merge Sort,99,9
Merge Sort,61,5
Merge Sort,61,5
Merge Sort,57,4
Merge Sort,26,1
Merge Sort,7,0
Merge Sort,86,7
Merge Sort,13,0
Merge Sort,27,2
Merge Sort,32,2
Merge Sort,21,1
Merge Sort,62,5
Merge Sort,19,1
Merge Sort,72,6
Merge Sort,57,4
Merge Sort,85,7
Merge Sort,55,4
Insertion Sort,19,1
Insertion Sort,79,13
Insertion Sort,88,17
Insertion Sort,33,2
Insertion Sort,36,3
Insertion Sort,86,17
Insertion Sort,24,1
Insertion Sort,18,1
Insertion Sort,79,12
Insertion Sort,48,4
Insertion Sort,12,0
Insertion Sort,5,0
Insertion Sort,2,0
Insertion Sort,59,8
Insertion Sort,43,4
Insertion Sort,75,14
Insertion Sort,59,6
Insertion Sort,35,2
Insertion Sort,30,2
Insertion Sort,86,18
Insertion Sort,24,1
Insertion Sort,29,2
Insertion Sort,37,3
Insertion Sort,96,22
Insertion Sort,12,0
Insertion Sort,41,3
Insertion Sort,72,12
Insertion Sort,10,0
Insertion Sort,75,15
Insertion Sort,27,1
Insertion Sort,19,1
Insertion Sort,13,0
Insertion Sort,1,0
Insertion Sort,19,1
Insertion Sort,98,22
Insertion Sort,91,19
Insertion Sort,28,2
Insertion Sort,100,20
Insertion Sort,16,0
Insertion Sort,62,9
Insertion Sort,90,16
Insertion Sort,5,0
Insertion Sort,60,7
Insertion Sort,41,4
Insertion Sort,48,5
Insertion Sort,52,6
Insertion Sort,67,9
Insertion Sort,5,0
Insertion Sort,73,10
Insertion Sort,63,9
Insertion Sort,71,10
Insertion Sort,61,9
Insertion Sort,1,0
Insertion Sort,72,12
Insertion Sort,35,3
Insertion Sort,45,4
Insertion Sort,55,6
Insertion Sort,47,5
Insertion Sort,67,10
Insertion Sort,70,11
Insertion Sort,72,12
Insertion Sort,29,2
Insertion Sort,20,1
Insertion Sort,78,14
Insertion Sort,22,1
Insertion Sort,69,11
Insertion Sort,72,11
Insertion Sort,17,0
Insertion Sort,87,17
Insertion Sort,98,23
Insertion Sort,38,3
Insertion Sort,40,4
Insertion Sort,32,2
