Algorithm,N,TimeTaken
Inbuilt Sort,221,19
Inbuilt Sort,22,1
Inbuilt Sort,723,63
Inbuilt Sort,524,38
Inbuilt Sort,862,91
Inbuilt Sort,360,38
Inbuilt Sort,580,52
Inbuilt Sort,181,13
Inbuilt Sort,653,61
Inbuilt Sort,67,4
Inbuilt Sort,127,8
Inbuilt Sort,330,24
Inbuilt Sort,883,80
Inbuilt Sort,810,60
Inbuilt Sort,426,30
Inbuilt Sort,663,48
Inbuilt Sort,213,12
Inbuilt Sort,727,58
Inbuilt Sort,421,25
Inbuilt Sort,488,33
Inbuilt Sort,974,72
Inbuilt Sort,691,55
Inbuilt Sort,494,31
Inbuilt Sort,131,5
Inbuilt Sort,451,30
Inbuilt Sort,383,26
Inbuilt Sort,853,54
Inbuilt Sort,728,63
Inbuilt Sort,629,40
Inbuilt Sort,203,14
Inbuilt Sort,9,0
Inbuilt Sort,56,3
Inbuilt Sort,737,48
Inbuilt Sort,87,5
Inbuilt Sort,222,15
Inbuilt Sort,39,2
Inbuilt Sort,254,13
Inbuilt Sort,479,39
Inbuilt Sort,442,31
Inbuilt Sort,242,16
Inbuilt Sort,436,29
Inbuilt Sort,713,60
Inbuilt Sort,253,23
Inbuilt Sort,454,41
Inbuilt Sort,839,67
Inbuilt Sort,549,37
Inbuilt Sort,765,64
Inbuilt Sort,906,77
Inbuilt Sort,844,57
Inbuilt Sort,742,54
Inbuilt Sort,926,78
Inbuilt Sort,631,50
Inbuilt Sort,734,64
Inbuilt Sort,372,27
Inbuilt Sort,250,18
Inbuilt Sort,585,47
Inbuilt Sort,523,36
Inbuilt Sort,938,78
Inbuilt Sort,311,20
Inbuilt Sort,406,32
Inbuilt Sort,601,43
Inbuilt Sort,230,13
Inbuilt Sort,611,38
Inbuilt Sort,453,33
Inbuilt Sort,16,0
Inbuilt Sort,671,44
Inbuilt Sort,755,62
Inbuilt Sort,39,2
Inbuilt Sort,98,5
Inbuilt Sort,880,70
Inbuilt Sort,323,21
Inbuilt Sort,906,82
Inbuilt Sort,598,53
Inbuilt Sort,748,60
Inbuilt Sort,666,57
Inbuilt Sort,220,17
Inbuilt Sort,290,18
Inbuilt Sort,231,13
Inbuilt Sort,331,27
Inbuilt Sort,414,33
Inbuilt Sort,753,56
Inbuilt Sort,525,31
Inbuilt Sort,127,8
Inbuilt Sort,268,18
Inbuilt Sort,356,26
Inbuilt Sort,182,10
Inbuilt Sort,208,11
Inbuilt Sort,678,50
Inbuilt Sort,42,2
Inbuilt Sort,688,49
Inbuilt Sort,635,53
Inbuilt Sort,694,46
Inbuilt Sort,172,13
Inbuilt Sort,408,33
Inbuilt Sort,784,53
Inbuilt Sort,614,38
Inbuilt Sort,218,13
Inbuilt Sort,172,10
Inbuilt Sort,719,48
Inbuilt Sort,394,32
Quick Sort,221,20
Quick Sort,22,1
Quick Sort,723,446
Quick Sort,524,103
Quick Sort,862,88
Quick Sort,360,37
Quick Sort,580,74
Quick Sort,181,28
Quick Sort,653,74
Quick Sort,67,5
Quick Sort,127,9
Quick Sort,330,34
Quick Sort,883,90
Quick Sort,810,104
Quick Sort,426,44
Quick Sort,663,61
Quick Sort,213,16
Quick Sort,727,81
Quick Sort,421,51
Quick Sort,488,52
Quick Sort,974,152
Quick Sort,691,78
Quick Sort,494,78
Quick Sort,131,26
Quick Sort,451,62
Quick Sort,383,55
Quick Sort,853,433
Quick Sort,728,108
Quick Sort,629,347
Quick Sort,203,20
Quick Sort,9,0
Quick Sort,56,3
Quick Sort,737,230
Quick Sort,87,7
Quick Sort,222,19
Quick Sort,39,2
Quick Sort,254,93
Quick Sort,479,48
Quick Sort,442,52
Quick Sort,242,21
Quick Sort,436,38
Quick Sort,713,83
Quick Sort,253,27
